"Participant_Private_ID","age","gender","ethnic","religiosity","education","education-quantised","children","SES","comment","ethnic2","ethnic-other","ethnic3"
"8994451",30,"man","ישראלי/ת","2","חלק מתואר ראשון באוניברסיטה","5",0,7,NA,"יהודי/ת",NA,NA
"8994510",30,"man","ישראלי/ת","1","השלמתי תואר ראשון באוניברסיטה","6",0,8,NA,NA,NA,NA
"8994502",NA,"man","ישראלי/ת","1","חלק מתואר ראשון באוניברסיטה","5",0,5,"מעניין","יהודי/ת","אחר",NA
"8994208",31,"man","ישראלי/ת","3","למדתי לימודים מתקדמים מעבר לתואר ראשון","7",0,7,NA,"יהודי/ת",NA,NA
"8994516",42,"man","ישראלי/ת","6","השלמתי תואר ראשון באוניברסיטה","6",3,6,NA,"יהודי/ת",NA,NA
"8994515",NA,"man","ישראלי/ת","1","השלמתי תואר ראשון באוניברסיטה","6",3,8,"מעניין",NA,NA,NA
"8994527",64,"man","ישראלי/ת","1","השלמתי בית ספר תיכון","4",3,6,"לא","יהודי/ת",NA,NA
"8994526",52,"man","ישראלי/ת","5","השלמתי בית ספר תיכון","4",1,NA,NA,NA,NA,NA
"8994522",NA,"man","ישראלי/ת","1","השלמתי תואר ראשון באוניברסיטה","6",4,7,"מאוד הצטערתי שבתחילת הניסוי קבעתי לא לגבי אנשיםלמרות שברור לי לגמרי שלא ניתן לקבוע לפי המראה","יהודי/ת",NA,NA
"8994512",18,"woman","ישראלי/ת","1","השלמתי בית ספר תיכון","4",0,6,NA,NA,NA,NA
"8994551",57,"woman","ישראלי/ת","1","השלמתי תואר ראשון באוניברסיטה","6",1,8,"בהצלחה","יהודי/ת",NA,NA
"8994568",28,"woman","ישראלי/ת","2","למדתי לימודים מתקדמים מעבר לתואר ראשון","7",0,7,"המקש הימני חייב להיות הזהה והשמאלי השונה, זה בניגוד לאינסטינקט","יהודי/ת",NA,NA
"8994396",28,"man","ישראלי/ת","1","חלק מתואר ראשון באוניברסיטה","5",0,5,"אין תודה רבה ביי",NA,NA,NA
"8994627",40,"woman","ישראלי/ת","1","חלק מתואר ראשון באוניברסיטה","5",3,6,"שמחתי להשתתף",NA,NA,NA
"8994638",18,"woman","ישראלי/ת","1","השלמתי בית ספר תיכון","4",0,6,NA,"יהודי/ת",NA,NA
"8994662",57,"man","ישראלי/ת","4","השלמתי תואר ראשון באוניברסיטה","6",3,5,NA,NA,NA,NA
"8993983",30,"man","ישראלי/ת","5","השלמתי בית ספר תיכון","4",0,5,NA,"יהודי/ת",NA,NA
"8994949",NA,"woman","ישראלי/ת","2","חלק מתואר ראשון באוניברסיטה","5",0,5,"אולי לתת עוד קצת זמן לפני שהסקר אומר שלא התקבלה תשובה לתמונה","יהודי/ת",NA,NA
